lr,model_name,downstream,num_heads,num_layers,optimizer,loss,gamma,alpha,seed,warmup_steps,max_steps,clip_large_grad,mode,finetune_elmo,max_dev,mean_dev,max_train,step_trained
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res16,False,60.34,54.29,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,62.88,57.0,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,lap14,False,62.6,57.25,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res16,False,63.29,55.32,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res14,False,61.82,55.03,99.99,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,lap14,False,62.32,56.73,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res16,False,49.59,42.27,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res14,False,61.54,52.07,99.95,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,lap14,False,67.04,58.08,99.99,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res16,False,47.78,40.92,100.0,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res14,False,61.05,56.57,99.99,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,lap14,False,62.95,57.78,100.0,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res16,False,48.63,38.26,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res14,False,61.08,54.31,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,lap14,False,64.22,57.64,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,True,res16,False,50.38,43.37,100.0,3000
5e-05,bert,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,3000,False,res16,False,9.51,9.51,9.34,100
0.001,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res14,False,55.84,52.14,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res14,False,60.75,54.98,99.98,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,lap14,False,66.58,58.98,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res16,False,49.25,43.56,99.99,2400
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res14,False,61.13,52.92,99.98,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res16,False,54.35,48.91,100.0,3000
0.0005,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,59.42,52.34,100.0,3000
0.001,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.5,7,500,3000,True,res14,False,44.8,35.34,58.43,900
0.001,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.5,7,500,2500,True,res14,True,47.69,41.16,96.32,1900
0.001,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,2000,True,res14,True,47.23,42.6,99.84,2000
0.001,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.3,7,500,2000,True,res14,True,44.9,42.3,91.44,1400
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.3,7,500,2000,True,res14,True,47.65,43.45,100.0,1600
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,2000,True,res14,True,51.15,47.41,100.0,2000
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,7,500,2000,True,res14,True,48.67,42.97,100.0,1900
